product_id,product_name_raw,product_name_clean,강조문구_1,강조문구_2,강조문구_3,clean_predict,raw_predict
A000000231638,[트러블진정] 디오디너리 설퍼 10% 파우더-투-크림 컨센트레이트 5g,디오디너리 설퍼 10% 파우더-투-크림 컨센트레이트,진정·시카·민감,피지·모공·트러블,,,진정·시카·민감(진정); 피지·모공·트러블(트러블)
A000000228255,더마팩토리 바쿠치올 1% 크림 30g,더마팩토리 바쿠치올 1% 크림,기타/강조문구 약함,,,,
A000000224147,[최다증정|기프트] 바이오힐보 프로바이오덤 3D리프팅 스킨케어 3종세트(토너+에멀전+크림),바이오힐보 프로바이오덤 3D리프팅 스킨케어 3종세트(토너 에멀전 크림),탄력·주름·안티에이징,,,탄력·주름·안티에이징(리프팅),
A000000200356,[광채크림/레티날0.1%] 닥터디퍼런트 비타리프트 에이 포르테 20g 기획(+레티날5g+시카크림1.5g*2),닥터디퍼런트 비타리프트 에이 포르테 ( 레티날5g 시카크림1. *2),진정·시카·민감,탄력·주름·안티에이징,미백·잡티·톤업,"진정·시카·민감(시카); 탄력·주름·안티에이징(레티날,비타리프트); 미백·잡티·톤업(비타)",
A000000230877,[탄력수분크림] 바이오던스 포어 퍼펙팅 콜라겐 펩타이드 크림 50ml 기획 (+10ml),바이오던스 포어 퍼펙팅 콜라겐 펩타이드 크림,피지·모공·트러블,탄력·주름·안티에이징,,피지·모공·트러블(포어); 탄력·주름·안티에이징(콜라겐),
A000000171829,바이오더마 아토덤 인텐시브 밤 500ml,바이오더마 아토덤 인텐시브 밤,보습·장벽·리페어,,,보습·장벽·리페어(아토),
A000000243333,[7월올영픽/긴급손상진정] 키엘 울트라 훼이셜 메디크림 28ml/50ml (기획/단품),키엘 울트라 훼이셜 메디크림 /,진정·시카·민감,,,,진정·시카·민감(진정)
A000000212016,에센허브 티트리 수딩 인 카밍 크림 80ml 기획(+크림 30ml),에센허브 티트리 수딩 인 카밍 크림 ( 크림 ),진정·시카·민감,,,"진정·시카·민감(카밍,수딩)",
A000000255827,[기미톤업/색소침착] 동국제약 멜라-셋 기미 토닝 크림 35g 더블 기획(+기미 와이드 패치 2매입*2ea),동국제약 멜라-셋 기미 토닝 크림 ( 기미 와이드 패치 2매입* ),미백·잡티·톤업,,,"미백·잡티·톤업(기미,멜라,토닝)",
A000000259386,[웬디PICK] 포들 밤 레티날 모공 리셋 솔루션 캡슐 크림 55g,포들 밤 레티날 모공 리셋 솔루션 캡슐 크림,피지·모공·트러블,탄력·주름·안티에이징,,피지·모공·트러블(모공); 탄력·주름·안티에이징(레티날),
A000000248501,[박희선Pick] 아누아 어성초 77 B3 징크 수딩 크림 80ml 더블 기획 (+튜브 80g),아누아 어성초 77 B3 징크 수딩 크림 ( 튜브 ),진정·시카·민감,,,진정·시카·민감(수딩),
A000000145333,[산뜻/지성크림] 닥터디퍼런트 113 세콜지 모이스처라이저 100ml,닥터디퍼런트 113 세콜지 모이스처라이저,보습·장벽·리페어,,,보습·장벽·리페어(모이스처),
A000000182685,[트러블로션] 에스트라 테라크네365 수딩 액티브 모이스처라이저 60ml,에스트라 테라크네365 수딩 액티브 모이스처라이저,보습·장벽·리페어,진정·시카·민감,피지·모공·트러블,보습·장벽·리페어(모이스처); 진정·시카·민감(수딩); 피지·모공·트러블(테라크네),
A000000260462,에스트라 아토베리어365 하이드로 수딩크림 80ml,에스트라 아토베리어365 하이드로 수딩크림,수분·수부지·아쿠아,보습·장벽·리페어,진정·시카·민감,"수분·수부지·아쿠아(하이드로); 보습·장벽·리페어(베리어,아토); 진정·시카·민감(수딩)",
A000000126470,[장벽크림] 유세린 울트라 센서티브 리페어 크림 50ml,유세린 울트라 센서티브 리페어 크림,보습·장벽·리페어,,,보습·장벽·리페어(리페어),
A000000251453,[태극제약]도미나스 크림 Rx 20ml,도미나스 크림 Rx,기타/강조문구 약함,,,,
A000000238669,[장원영PICK] 닥터엘시아 345 릴리프 크림 50ml,닥터엘시아 345 릴리프 크림,기타/강조문구 약함,,,,
A000000218756,[흔적말끔] 라운드랩 소나무 진정 시카 크림 플러스 60ml 기획 (+토너 20ml),라운드랩 소나무 진정 시카 크림 플러스 ( 토너 ),진정·시카·민감,,,"진정·시카·민감(진정,시카)",
A000000242515,[1등 손상장벽] 센텔리안24 마데카 크림 PDRN 기획세트 50ml+15ml,센텔리안24 마데카 크림 PDRN,진정·시카·민감,탄력·주름·안티에이징,,진정·시카·민감(마데카); 탄력·주름·안티에이징(PDRN),
A000000238458,[티벳동생 공동개발] 오아조 더마 테카 카밍 크림 50ml,오아조 더마 테카 카밍 크림,진정·시카·민감,,,"진정·시카·민감(카밍,테카)",
A000000192300,[김재원 PICK] 몰바니 볼륨 인크리징 프로틴 크림 100ml,몰바니 볼륨 인크리징 프로틴 크림,기타/강조문구 약함,,,,
A000000183498,[올영 단독] 에뛰드 순정 수분 베리어 크림 75ml 트리오 기획 (75ml X 3EA),에뛰드 순정 수분 베리어 크림 트리오 ( X ),수분·수부지·아쿠아,보습·장벽·리페어,,수분·수부지·아쿠아(수분); 보습·장벽·리페어(베리어),
A000000247713,[흔적케어]브링그린 징크테카 리페어 흔적 크림 80ml (콜라보/기획),브링그린 징크테카 리페어 흔적 크림,보습·장벽·리페어,진정·시카·민감,,"보습·장벽·리페어(리페어); 진정·시카·민감(흔적,테카)",
A000000212724,[흔적수분크림] 듀이트리 AC 딥 흔적 진정 크림 60ml,듀이트리 AC 딥 흔적 진정 크림,진정·시카·민감,피지·모공·트러블,,"진정·시카·민감(진정,흔적); 피지·모공·트러블(AC)",
