product_id,product_name,canonical_name,ingredient_order,concentration_ppm
A000000258214,믹순 히알레배 포어 워터풀 젤크림,세라마이드엔피,40,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,세틸에틸헥사노에이트,41,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,소듐하이알루로네이트크로스폴리머,42,0.01
A000000258214,믹순 히알레배 포어 워터풀 젤크림,세테아릴올리베이트,43,
A000000258214,믹순 히알레배 포어 워터풀 젤크림,솔비탄올리베이트,44,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,정제수,1,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,글리세린,2,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,부틸렌글라이콜,3,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,다이카프릴릴에터,4,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,나이아신아마이드,5,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,"1,2-헥산다이올",6,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,펜틸렌글라이콜,7,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,소듐하이알루로네이트,8,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,병풀잎추출물,9,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,비피다발효여과물,10,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,락토바실러스발효물,11,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,병풀꽃/잎/줄기추출물,12,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,병풀뿌리추출물,13,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,병풀추출물,14,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,효모발효여과물,15,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,하이드로제네이티드폴리데센,16,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,다이카프릴릴카보네이트,17,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,18,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,판테놀,19,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,20,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,실리카,21,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,트로메타민,22,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,솔비톨,23,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,24,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,에틸헥실글리세린,25,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,트라이소듐에틸렌다이아민다이석시네이트,26,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,알란토인,27,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,다이프로필렌글라이콜,28,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,토코페롤,29,
